League Name,League ID
Spanish Copa del Rey,12801
Brazilian Carioca Matches,12164283
South African Premier Division,10699940
Turkish Cup,10533800
Austrian Erste Liga,9
Friendlies Women's International,12200369
Dutch Eerste Divisie,11
Australian A-League Men,12117172
Brazilian Serie A,13
Bulgarian A League,15
Croatian HNL,17
Brazilian Pernambucano Matches,12184232
Romanian Cup,12221864
Cypriot 1st Division,19
Czech 1 Liga,12204204
Danish Superliga,23
Brazilian Cearense Matches,12172193
Dutch Eredivisie,9404054
French Cup,12209560
English Sky Bet League 1,35
Brazilian Serie B,321319
Salvadoran Primera Division,12009363
English Sky Bet League 2,37
Italian Coppa Italia,12214429
Peruvian Primera Division,8594603
Portuguese Segunda Liga,9513
Romanian Liga I,4905
English National League North,41
Kosovan Superliga,12111762
Venezuelan Primera Division,1065530
Moroccan Botola Pro 1,2609677
English National League South,43
Panamanian Premier League,3972877
AFC Champions League,39218
Armenian Premier League,2888729
French Ligue 1,55
French Ligue 2,57
Dutch Cup,19513
Argentinian Primera Division,67387
German Bundesliga,59
German Bundesliga 2,61
Turkish 1 Lig,175680
Greek Super League,67
SheBelievesCup,12288508
Saudi Professional League,12209405
Icelandic League Cup,849220
Brazilian Goiano Matches,12185073
Brazilian Gaucho Matches,12184051
Colombian Primera B,856134
Brazilian Paraibano Matches,12179700
Italian Serie A,81
English Football League Cup,2134
English FA Cup,30558
Polish Ekstraklasa,97
Portuguese Primeira Liga,99
Hungarian NB II,4556576
Ecuadorian Serie A,803690
Portuguese Cup,12218844
Serbian Super League,103
Scottish Premiership,105
Scottish Championship,107
Scottish League One,109
Scottish League Two,111
Slovenian Premier League,115
Mexican Liga MX,5627174
Spanish La Liga,117
EFL Trophy,9882094
Irish Premier Division,12203971
Brazilian Paulista Serie A1,2490975
Belgian Pro League,89979
CONCACAF U20 Cup Qualifiers,12416961
Specials,2608550
Chilean Primera B,857992
Swiss Super League,133
Welsh Premiership,252549
CONMEBOL Copa Sudamericana,12204604
US United Soccer League,12216637
Polish 2 Liga,11838780
Ukrainian Premier League,139
Polish I Liga,403085
US MLS,141
Costa Rican Primera Division,2079376
Brazilian Capixaba Matches,12195627
Kenyan Premier League,7616742
Guatemalan Liga Nacional,6566654
Jamaican Premier League,3796898
Paraguayan Primera Division,839575
Saudi 1st Division,2315454
English National League,11086347
Spanish Segunda Division,12204313
UEFA Europa Conference League,12375833
Turkish Super League,194215
Honduras Liga Nacional,12202271
Colombian Primera A,844197
Argentinian Primera Nacional,803237
Chilean Primera Division,744098
Indonesian Super League,822951
Uruguayan Primera Division,843454
Swedish Cup,18099
Italian Serie B,12199689
Egyptian Premier,801976
English Premier League,10932509
German 3 Liga,11591693
Brazilian Mineiro Matches,12184071
English Premier League 2 - Div 1,12199685
Japanese J. League 100 Year Vision,12782082
South Korean K2 League,12395641
AFC Ladies Asian Cup,12276605
South Korean K1 League,12395639
Austrian Bundesliga,10479956
Scottish FA Cup,12206708
UEFA Europa League,2005
English U21 Pro Development League,12511339
Guatemalan Primera Division de Ascenso,6812603
Italian Serie C,12199513
UEFA Champions League,228
FIFA World Cup,12469077
Hungarian NB I,1842928
CONMEBOL Copa Libertadores,12147796
English Sky Bet Championship,7129730
Nigerian Premier League,11730241
Mexican Liga de Ascenso,12760886
Moroccan Botola 2,6569630
