id,nome,mando,apostar?
194510,Colon,A,FALSE
897267,Instituto,A,FALSE
1383977,Rocha FC,A,FALSE
2451815,Tigre,A,FALSE
5174666,Aldosivi,A,FALSE
5178628,Patronato,A,FALSE
5300627,Miramar Misiones,A,FALSE
5352230,Daejeon Citizen,A,FALSE
5370243,CA Bella Vista,A,FALSE
5525509,Bella Vista,A,FALSE
5789841,Guillermo Brown,A,FALSE
5857923,Cerrito,A,FALSE
5985098,Central Norte,A,FALSE
7394845,Suwon FC,A,FALSE
8031087,Racing de Cordoba,A,FALSE
8278454,CA Central Norte,A,FALSE
8742769,CA Temperley,A,FALSE
8907688,CA Villa Teresa,A,FALSE
9459684,Villa Espanola,A,FALSE
9478922,San Telmo,A,FALSE
9509138,Flandria,A,FALSE
12479164,Seongnam FC,A,FALSE
19339388,Colon FC,A,FALSE
19417077,La Luz FC,A,FALSE
19616990,IA Potencia,A,FALSE
22856201,Club Atletico Racing de Cordob,A,FALSE
23106571,Asan Mugunghwa FC,A,FALSE
23306869,CA Racing de Cordoba,A,FALSE
39341794,Club Atletico Racing de Co,A,FALSE
39912836,Club Atletico Racing de Cor,A,FALSE
49420509,Atletico Racing de Cordoba,A,FALSE
69854761,CA Racing de Cordo,A,FALSE
